Time Window,Focus (Temporal),Focus (Spatial),LA1,LA2,LA3,LMH1,LMH2,LMH3,RA1,RA3,RMH1,RMH2,RMH3,LA1-LA2,LA2-LA3,LA3-LA4,LMH1-LMH2,LMH2-LMH3,LMH3-LMH4,RA1-RA3,RA3-RA4,RMH1-RMH2,RMH2-RMH3,RMH3-RMH4
97.5 - 97.75,97.62,RA1,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI
98.25 - 98.5,98.38,RA1,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI
98.5 - 98.75,98.62,RA1-RA3,,,,,,,,,,,,,,,,,,AUTO_DETECT_MULTI,,,,
98.75 - 99.0,98.88,RA1,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,,,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,
99.25 - 99.5,99.38,RA3,,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI
99.5 - 99.75,99.62,RA3,,,,,,,,AUTO_DETECT_MULTI,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,AUTO_DETECT_MULTI
99.75 - 100.0,99.88,RMH2-RMH3,,,,,,,,,,,,,,,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI
100.5 - 100.75,100.62,LMH3,,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,,,,,,
100.75 - 101.0,100.88,LMH3,,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,,,,,,
103.75 - 104.0,103.88,RA1,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,
104.25 - 104.5,104.38,RA1,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,
104.5 - 104.75,104.62,RMH1,,,,,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,,AUTO_DETECT_MULTI,
105.0 - 105.25,105.12,RA1,,,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,AUTO_DETECT_MULTI,,,,
105.75 - 106.0,105.88,RA3,,,,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,AUTO_DETECT_MULTI,,,
106.25 - 106.5,106.38,RMH2-RMH3,,,,,,,,,,,,,,,,,,,,,AUTO_DETECT_MULTI,
107.75 - 108.0,107.88,RMH1,,,,,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,AUTO_DETECT_MULTI,,
109.25 - 109.5,109.38,RA3,,,,,,,,AUTO_DETECT_MULTI,,AUTO_DETECT_MULTI,,,,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI
109.5 - 109.75,109.62,RMH3-RMH4,,,,,,,,,,,,,,,,,,,,,,AUTO_DETECT_MULTI
109.75 - 110.0,109.88,RA1,,,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,,,,,
119.0 - 119.25,119.12,RA1,,,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,,,,,
119.25 - 119.5,119.38,RA1,,,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,
