Time Window,Focus (Temporal),Focus (Spatial),LA1,LA2,LA3,LMH1,LMH2,LMH3,RA1,RA3,RMH1,RMH2,RMH3,LA1-LA2,LA2-LA3,LA3-LA4,LMH1-LMH2,LMH2-LMH3,LMH3-LMH4,RA1-RA3,RA3-RA4,RMH1-RMH2,RMH2-RMH3,RMH3-RMH4
171.25 - 171.5,171.38,LA2,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,AUTO_DETECT_MULTI,,AUTO_DETECT_MULTI,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,AUTO_DETECT_MULTI
171.5 - 171.75,171.62,LA3,,,AUTO_DETECT_MULTI,,,AUTO_DETECT_MULTI,,AUTO_DETECT_MULTI,,,AUTO_DETECT_MULTI,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,AUTO_DETECT_MULTI
172.0 - 172.25,172.12,RMH3-RMH4,,,,,,,,,,,,,,,,,,,,,,AUTO_DETECT_MULTI
172.25 - 172.5,172.38,LMH3-LMH4,,,,,,,,,,,,,,,,,AUTO_DETECT_MULTI,,,,,
172.5 - 172.75,172.62,LMH1,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,AUTO_DETECT_MULTI,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,
172.75 - 173.0,172.88,LA3,,,AUTO_DETECT_MULTI,,,AUTO_DETECT_MULTI,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,
173.0 - 173.25,173.12,RMH1,,,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,AUTO_DETECT_MULTI,,,,,,,AUTO_DETECT_MULTI,,
173.25 - 173.5,173.38,RA1,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI
174.0 - 174.25,174.12,RMH3,,,,,,,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,
174.25 - 174.5,174.38,LA1,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI
174.5 - 174.75,174.62,RMH3,,,,,,,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,
174.75 - 175.0,174.88,LA2,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,AUTO_DETECT_MULTI,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,,,,AUTO_DETECT_MULTI,,AUTO_DETECT_MULTI
175.75 - 176.0,175.88,LA1,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI
176.75 - 177.0,176.88,LA1,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,,,,,,,
177.0 - 177.25,177.12,LA3,,,AUTO_DETECT_MULTI,,AUTO_DETECT_MULTI,,,,,,,,,,,,,,,,,
177.25 - 177.5,177.38,RMH3,,,,,,,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,AUTO_DETECT_MULTI
177.5 - 177.75,177.62,LA2,,AUTO_DETECT_MULTI,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,,AUTO_DETECT_MULTI,,,AUTO_DETECT_MULTI,,,,AUTO_DETECT_MULTI,,AUTO_DETECT_MULTI,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI
177.75 - 178.0,177.88,RA1,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,AUTO_DETECT_MULTI,,,,,,,,AUTO_DETECT_MULTI,,,AUTO_DETECT_MULTI
178.0 - 178.25,178.12,RMH1,,,,,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,,,
179.0 - 179.25,179.12,LA1,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,,,,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,AUTO_DETECT_MULTI,,,,,AUTO_DETECT_MULTI
179.75 - 180.0,179.88,RA1,,,,,,,AUTO_DETECT_MULTI,,,,,,,,,,,,,,,AUTO_DETECT_MULTI
